시도명,군구명,운동종목,회원수
충청북도,충주시,킥복싱,11
인천광역시,미추홀구,킥복싱,3
경상북도,구미시,카라테,9
대전광역시,전체,킥복싱,1
충청남도,당진시,검도,1
경상남도,창원시,주짓수,2
경기도,부천시,주짓수,1
충청남도,논산시,검도,1
서울특별시,서대문구,검도,1
서울특별시,도봉구,검도,7
충청남도,예산군,검도,2
충청남도,예산군,검도,1
경기도,고양시,검도,6
서울특별시,구로구,검도,5
충청남도,태안군,검도,4
강원도,춘천시,검도,1
강원도,강릉시,합기도,11
경기도,안산시,합기도,2
서울특별시,동작구,검도,4
서울특별시,노원구,태권도,5
서울특별시,강동구,주짓수,1
강원도,춘천시,킥복싱,7
세종특별자치시,전체,주짓수,2
충청남도,서산시,검도,5
충청남도,천안시,검도,1
충청남도,천안시,검도,2
경기도,김포시,합기도,3
서울특별시,구로구,검도,4
인천광역시,서구,검도,2
충청남도,천안시,검도,1
충청북도,청주시,킥복싱,3
강원도,원주시,킥복싱,1
대전광역시,유성구,주짓수,1
대전광역시,중구,주짓수,7
강원도,양양군,합기도,24
경기도,시흥시,주짓수,11
전라북도,고창군,주짓수,1
서울특별시,양천구,주짓수,1
경기도,시흥시,주짓수,7
경기도,광명시,주짓수,3
서울특별시,강북구,주짓수,2
서울특별시,광진구,주짓수,4
강원도,인제군,합기도,9
광주광역시,동구,주짓수,16
충청남도,천안시,킥복싱,1
인천광역시,서구,검도,20
서울특별시,강남구,검도,3
인천광역시,서구,검도,8
서울특별시,관악구,검도,7
서울특별시,동작구,검도,1
광주광역시,서구,합기도,8
충청북도,청주시,검도,2
경기도,화성시,검도,2
인천광역시,남동구,검도,7
서울특별시,강남구,검도,1
인천광역시,미추홀구,검도,15
제주특별자치도,제주시,검도,6
광주광역시,광산구,합기도,1
서울특별시,서초구,검도,1
경상북도,문경시,검도,2
서울특별시,양천구,검도,1
충청북도,진천군,검도,27
인천광역시,부평구,검도,17
대전광역시,중구,주짓수,1
대전광역시,동구,주짓수,1
서울특별시,노원구,검도,2
충청북도,청주시,검도,3
인천광역시,남동구,검도,3
인천광역시,연수구,검도,19
인천광역시,연수구,검도,2
서울특별시,양천구,검도,1
강원도,속초시,합기도,12
경기도,성남시,우슈,11
인천광역시,부평구,검도,13
서울특별시,중랑구,검도,1
서울특별시,강남구,검도,10
인천광역시,서구,검도,2
경기도,화성시,검도,3
충청북도,청주시,검도,2
인천광역시,계양구,검도,16
강원도,강릉시,합기도,1
울산광역시,남구,검도,1
강원도,인제군,합기도,3
서울특별시,강남구,검도,8
서울특별시,강남구,검도,2
충청북도,제천시,카라테,15
서울특별시,노원구,검도,1
경기도,평택시,주짓수,1
서울특별시,성북구,검도,6
광주광역시,남구,검도,2
인천광역시,미추홀구,검도,4
울산광역시,남구,검도,1
경기도,부천시,주짓수,1
전라북도,남원시,검도,1
서울특별시,양천구,검도,5
서울특별시,강남구,검도,2
대전광역시,중구,주짓수,1
강원도,정선군,합기도,10
제주특별자치도,서귀포시,합기도,13
세종특별자치시,전체,주짓수,1
제주특별자치도,제주시,검도,12
서울특별시,관악구,검도,1
서울특별시,강서구,검도,1
전라북도,익산시,복싱,4
광주광역시,남구,복싱,1
경기도,용인시,검도,2
서울특별시,강서구,주짓수,7
충청남도,서산시,검도,1
부산광역시,기장군,검도,2
강원도,홍천군,합기도,10
충청북도,제천시,검도,5
경기도,포천시,주짓수,2
경기도,안양시,태권도,9
충청남도,청양군,검도,2
강원도,강릉시,합기도,7
제주특별자치도,제주시,킥복싱,2
경상남도,함안군,태권도,3
충청북도,청주시,주짓수,3
대구광역시,달서구,주짓수,1
충청북도,청주시,주짓수,8
경기도,부천시,주짓수,1
충청북도,청주시,주짓수,2
서울특별시,강남구,검도,7
경기도,화성시,검도,1
경상남도,도전체,태권도,146
서울특별시,송파구,태권도,1
경기도,남양주시,주짓수,3
강원도,원주시,합기도,14
강원도,원주시,합기도,6
서울특별시,강서구,검도,8
대구광역시,중구,태권도,1
서울특별시,노원구,우슈,1
제주특별자치도,제주시,태권도,2
경상남도,거제시,주짓수,1
경기도,광주시,주짓수,1
세종특별자치시,전체,복싱,29
서울특별시,전체,복싱,1
인천광역시,서구,검도,5
충청남도,계룡시,검도,1
충청남도,공주시,검도,1
서울특별시,관악구,검도,5
광주광역시,광산구,합기도,1
울산광역시,중구,검도,2
경기도,화성시,주짓수,1
경상남도,사천시,태권도,2
서울특별시,노원구,우슈,1
서울특별시,성동구,검도,4
세종특별자치시,전체,태권도,3
세종특별자치시,전체,검도,2
경기도,평택시,복싱,1
경기도,안산시,합기도,2
강원도,강릉시,합기도,2
충청남도,아산시,태권도,1
경기도,평택시,주짓수,2
강원도,춘천시,킥복싱,1
경기도,성남시,주짓수,3
서울특별시,노원구,주짓수,1
경기도,성남시,킥복싱,1
서울특별시,양천구,검도,13
강원도,원주시,합기도,6
대구광역시,북구,복싱,18
충청북도,제천시,카라테,10
경기도,군포시,주짓수,2
세종특별자치시,전체,검도,8
세종특별자치시,전체,태권도,1
서울특별시,강북구,검도,2
충청남도,공주시,검도,1
서울특별시,강서구,주짓수,1
경상남도,고성군,태권도,12
광주광역시,남구,태권도,1
세종특별자치시,전체,태권도,1
인천광역시,남동구,복싱,9
서울특별시,영등포구,검도,1
광주광역시,남구,주짓수,1
경상남도,김해시,킥복싱,1
경기도,남양주시,주짓수,34
대전광역시,서구,주짓수,4
제주특별자치도,제주시,검도,5
경기도,의정부시,합기도,1
부산광역시,강서구,주짓수,3
경상남도,양산시,킥복싱,1
충청남도,천안시,검도,4
서울특별시,강동구,복싱,1
강원도,원주시,복싱,1
충청남도,천안시,검도,5
경기도,김포시,주짓수,2
서울특별시,전체,검도,1
경상남도,도전체,검도,9
대전광역시,전체,킥복싱,1
충청남도,아산시,검도,4
